Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG3-P027,620290,9817056,0,10,1.43,20.3
CG3-P028,609046,9818558,0,30,1.45,18.56
CG3-P029,611328,9817323,21,30,1.42,21.46
CG3-P030,615043,9820242,0,15,1.45,17.98
CG3-P031,620259,9810370,11,20,1.52,9.86
CG3-P032,618497,9807485,21,30,1.5,11.6
CG3-P048,611033,9864350,0,30,1.47,15.66
CG3-P049,631765,9867846,0,30,1.48,14.5
CG3-P050,629080,9867288,11,20,1.23,50.46
CG3-P051,612576,9854220,0,30,1.36,29.58
CG3-P052,613419,9853938,21,30,1.5,11.6
CG3-P054,628276,9861414,21,30,1.45,17.4
CG3-P055,620445,9845314,0,30,1.68,14.5
CG3-P056,619062,9849682,21,30,1.5,11.6
CG3-P057,613476,9853683,0,30,1.52,9.86
CG3-P058,657556,9830830,21,30,1.32,16.24
CG3-P059,658278,9831457,11,20,1.21,23.2
CG3-P060,661929,9832414,11,20,1.15,29
CG3-P061,660671,9832018,21,30,1.48,13.92
CG3-P062,660015,9829505,0,10,1.43,20.3
CG3-P063,599370,9805563,0,30,1.54,7.54
CG3-P064,600249,9805322,21,30,1.33,18.56
CG3-P065,598137,9798075,21,30,1.56,5.22
CG3-P066,598836,9797741,0,30,1.36,17.98
CG3-P067,596603,9794800,0,30,1.09,16.24
CG3-P068,599454,9790170,21,30,1.35,8.7
CG3-P069,597673,9789434,21,30,1.59,7.54
CG3-P070,598448,9788924,11,20,1.53,8.7
CG3-P071,595980,9791922,11,20,1.5,12.18
CG3-P072,595311,9789323,21,30,1.4,23.78
CG3-P073,595259,9791655,0,30,1.69,9.28
CG3-P074,593831,9791218,21,30,1.44,19.72
CG3-P075,584965,9820895,21,30,1.28,9.28
CG3-P076,585484,9817769,0,30,1.35,30.74
CG3-P077,586275,9822674,21,30,1.56,11.02
CG3-P078,585768,9816606,0,30,1.44,28.42
CG3-P079,582607,9818022,0,30,1.35,30.74
CG3-P080,567263,9810997,21,30,1.45,18.56
CG3-P081,567849,9817646,0,30,1.17,12.18
CG3-P082,567711,9816192,21,30,1.06,36.54
CG3-P084,567054,9813511,0,30,1.37,32.48
CG3-P085,566691,9812946,21,30,1.28,30.16
CG3-P086,562040,9813600,21,30,1.38,27.26
CG3-P087,561242,9813968,0,10,1.51,11.02
CG3-P088,560850,9814829,0,30,1.29,12.76
CG3-P089,644163,9881357,21,30,0.93,37.7
CG3-P090,644260,9882433,11,20,1.43,22.04
CG3-P091,645818,9884006,21,30,1.35,30.74
CG3-P092,645193,9885437,0,30,1.26,26.68
CG3-P093,646333,9880969,21,30,1.33,19.72
CG3-P094,648360,9886186,21,30,1.24,15.66
CG3-P095,648516,9886386,0,30,0.82,21.46
CG3-P096,650910,9889082,0,30,1.23,21.46
CG3-P097,648078,9888019,21,30,1.28,14.5
CG3-P098,647969,9887047,21,30,1.37,18.56
CG3-P099,652674,9890319,21,30,1.32,30.16
CG3-P100,652489,9889793,0,30,1.34,12.18
CG3-P101,656700,9885142,21,30,1.2,32.48
CG3-P102,657619,9885674,0,30,1.12,21.46
CG3-P103,654005,9882444,21,30,1.53,8.7
CG3-P104,650415,9879056,21,30,1.1,27.26
CG3-P105,581553,9798678,0,30,1.51,23.78
CG3-P106,578695,9798058,21,30,1.52,9.28
CG3-P107,577271,9799559,0,30,1.38,21.46
CG3-P108,563228,9795644,21,30,1.48,14.5
CG3-P109,565582,9796277,0,30,1.48,13.92
CG3-P110,565253,9797444,21,30,1.37,28.42
CG3-P111,566035,9796704,21,30,1.42,22.04
CG3-P112,564849,9795343,11,20,1.57,4.06
CG3-P113,571407,9796514,21,30,1.48,14.5
CG3-P114,569764,9796370,21,30,1.42,22.04
CG3-P115,569467,9797864,0,30,1.45,17.4
CG3-P116,569563,9797403,21,30,1.32,35.38
CG3-P117,571665,9799259,21,30,1.47,15.66
CG3-P118,572913,9799907,0,30,1.51,11.02
CG3-P119,573591,9798879,0,30,1.59,2.32
CG3-P120,575725,9799848,11,20,1.59,1.74
CG3-P121,577259,9797715,11,20,1.47,15.66
CG3-P122,585117,9840624,0,30,1.36,30.16
CG3-P123,584903,9840683,0,30,1.45,33.64
CG3-P124,584966,9841034,0,30,1.54,14.5
CG3-P125,585380,9843566,21,30,1.51,11.02
CG3-P126,584020,9843669,21,30,1.61,12.18
CG3-P127,583260,9844753,0,30,1.35,36.54
CG3-P128,582962,9845324,0,30,1.11,12.18
